team,elo
Scotland,1715.512370743221
England,1895.185127435261
Wales,1669.7760776237362
Northern Ireland,1574.5159106222975
United States,1782.99597011065
Uruguay,1811.365444896694
Austria,1790.1523728294687
Hungary,1712.1687212232528
Argentina,1980.659131796278
Belgium,1839.14282746082
France,1934.260075108618
Guernsey,1672.434452647773
Jersey,1720.099177278806
Netherlands,1862.6942692077591
Guyana,1458.2532185684388
Czechoslovakia,1670.0703808424485
Alderney,1183.2196208321623
Switzerland,1795.6673585994272
Sweden,1726.9389832892714
Germany,1884.0593732302586
Italy,1852.557920503889
Chile,1703.4532474207347
Norway,1777.1501497348563
Russia,1755.8831012494156
Finland,1553.3140808353764
Luxembourg,1439.3695059100187
Denmark,1805.1845005292166
Catalonia,1629.1332866569144
Philippines,1387.7373832492592
Basque Country,1713.1942433068916
China,1552.2688152453647
Brazil,1904.0522873178952
Japan,1853.1751768629456
Paraguay,1724.5037316493856
Greece,1689.5956089207227
Spain,1961.6992803243745
Egypt,1729.6703194203562
Suriname,1517.7220705868413
Canada,1762.7936343646409
Estonia,1441.2056040458524
Costa Rica,1647.308644572421
Guatemala,1559.4529280370073
Brittany,1521.252645682788
Poland,1720.970088752697
Yugoslavia,1693.6222424965774
New Zealand,1622.1260404532238
Romania,1632.1661458687408
Latvia,1357.72866418762
Galicia,1532.4265607269717
Portugal,1889.9177145959484
Andalusia,1581.899433965495
Australia,1775.9155254759753
Lithuania,1351.7574618630174
Turkey,1779.6954485124777
Central Spain,1500.55049469111
Mexico,1833.8064593006488
Aruba,1284.5720588716295
Republic of Ireland,1667.3345222745806
Haiti,1591.4471559034573
Bulgaria,1508.334130879421
Jamaica,1600.6906445670702
Kenya,1481.1406795004575
Bolivia,1576.3476736158577
Peru,1675.7811469882076
Honduras,1593.5041311149748
Uganda,1493.5222420059667
Belarus,1519.4028898303175
El Salvador,1481.3820228138788
Barbados,1265.8124606644203
Trinidad and Tobago,1498.9009196487846
Cuba,1413.2491760828616
Curaçao,1513.108850813354
Dominica,1281.4138786002525
Silesia,1507.952009813703
Guadeloupe,1500.9785756244773
Israel,1594.096909213817
French Guiana,1432.96447853979
Panama,1690.3805974788577
Colombia,1883.5124744537918
Venezuela,1695.9339495163347
Ecuador,1809.2619220064314
Saint Kitts and Nevis,1376.4815487832227
Slovakia,1647.2141889560107
Manchukuo,1468.3785396460028
Croatia,1818.8735372097437
Nicaragua,1447.4589303897696
Afghanistan,1272.44879148378
India,1354.7515069927254
Martinique,1472.9316341629196
Zimbabwe,1461.239787311127
Iceland,1562.3316507930135
Albania,1575.3869477470298
Madagascar,1463.5348972770744
Zambia,1514.1197606726744
Mauritius,1277.0285785573305
Tanzania,1413.8882414291409
Iran,1798.7784818098025
Djibouti,1172.5598652392086
DR Congo,1646.0409854183567
Vietnam,1534.1028291401137
Macau,1082.0824237513307
Ethiopia,1421.601884805633
Puerto Rico,1382.6586524844831
Réunion,1554.1510395686485
Sierra Leone,1435.2488826132435
Zanzibar,1482.771654123459
South Korea,1789.1237823947902
Ghana,1598.1604576399732
South Africa,1633.6752036124726
New Caledonia,1542.2690525826433
Fiji,1476.3115021071758
Nigeria,1716.1683881783156
Myanmar,1266.4947046552115
Sri Lanka,1158.0480908163602
Tahiti,1528.3372946306365
Gambia,1482.5879332331942
Hong Kong,1380.5832287829983
Singapore,1380.5933283393078
Malaysia,1519.1064518016433
Indonesia,1502.9996218610254
Guinea-Bissau,1390.3991540600493
German DR,1648.2977215668132
Vanuatu,1476.4220486715483
Kernow,1567.6511200569403
Saarland,1463.253614630698
Taiwan,1241.169332542991
Cambodia,1210.4345845674186
Lebanon,1445.0088367961484
Pakistan,1192.1655078700203
Vietnam Republic,1440.9356472536006
North Korea,1503.8913882996305
Togo,1474.656437731068
Sudan,1440.1939909531663
Malta,1370.8346802656883
Syria,1523.0458945905696
Tunisia,1674.5723838201839
Malawi,1423.5772330172754
Morocco,1842.5771001174883
Benin,1497.3473826468514
Thailand,1554.9221744526774
Ivory Coast,1741.6375266994032
Burkina Faso,1599.4764344001019
Congo,1386.8202342182572
Cameroon,1649.491305305818
Mali,1632.8457599128394
North Vietnam,1467.8519459002973
Mongolia,1177.6873601318912
Cyprus,1399.4844048769585
Iraq,1682.7740611126121
Saint Lucia,1334.5890487650713
Grenada,1343.3201601943454
Senegal,1776.086856637095
Central African Republic,1377.0749121032832
Chad,1309.397399020512
Libya,1515.146646780058
Gabon,1517.3899493221588
Guinea,1517.8600434055425
Algeria,1780.8257310015072
Kuwait,1492.4054553554674
Jordan,1654.0298330859077
Liberia,1400.254612472649
Solomon Islands,1449.262812734658
Laos,1135.5567838866712
Saint Vincent and the Grenadines,1399.220496256763
Bermuda,1397.4451345523294
Niger,1421.6330528553203
Montenegro,1527.2134919031569
Palestine,1510.104599913037
Bahrain,1536.7602501446752
Papua New Guinea,1473.5695324475796
Mauritania,1457.7649020334966
Saudi Arabia,1651.9683811636285
Eswatini,1340.3788702329896
Western Australia,1438.6778492534202
Somalia,1167.1519190894164
Lesotho,1383.3886771906782
Cook Islands,1327.5297386088712
Qatar,1594.1447168647394
Antigua and Barbuda,1299.1915900115462
Faroe Islands,1379.4634923319536
Bangladesh,1251.4949348553964
Yemen,1335.30169672682
Oman,1587.0036170280594
Yemen DPR,1424.9471109532183
Burundi,1407.8343952749474
Mozambique,1464.7623342244822
Guam,1176.9981249202654
Angola,1544.448843189018
Dominican Republic,1459.742493874285
Seychelles,1146.9639385474793
Rwanda,1460.4404004743535
São Tomé and Príncipe,1266.5524679912646
Botswana,1425.9204219207709
Northern Cyprus,1590.875779015989
Cape Verde,1606.2046519337632
Kyrgyzstan,1447.558350379003
Georgia,1620.3354470507074
Azerbaijan,1411.769383689805
Comoros,1457.9268251413323
Kiribati,1408.788071967059
Tonga,1278.7984543442426
Wallis Islands and Futuna,1392.1168128052082
United Arab Emirates,1624.4327929131177
Brunei,1113.3653158259515
Equatorial Guinea,1454.505066551164
Liechtenstein,1127.6831893478156
Nepal,1238.6017119149897
Greenland,1449.0190074859413
Niue,1483.4733380490945
Samoa,1366.6941279736564
American Samoa,1213.0885277732493
Belize,1349.552499263051
Maldives,1184.3369805775571
Anguilla,1135.2907681246988
Cayman Islands,1240.2767746460609
Palau,1474.017766284021
Sint Maarten,1380.0577650963542
Namibia,1429.3919248062118
Åland Islands,1495.4879270086058
Ynys Môn,1617.5484409634007
Saint Martin,1344.563558172042
San Marino,1043.138349895542
Slovenia,1664.3695706052124
Shetland,1481.1898922512935
Isle of Wight,1594.2371357756463
Moldova,1346.9929609725473
Ukraine,1736.8788192625163
Kazakhstan,1453.3992584100256
Tajikistan,1456.7951276037816
Uzbekistan,1713.8886611522553
Turkmenistan,1412.1441404410168
Armenia,1436.3001051249094
Gibraltar,1271.4258228086348
Isle of Man,1615.7575020622412
North Macedonia,1568.368205002454
Czech Republic,1712.734406913638
Montserrat,1331.8358482334272
Serbia,1713.125264844869
Canary Islands,1511.903131346321
Bosnia and Herzegovina,1596.8491918694597
Andorra,1200.8072661172191
British Virgin Islands,1202.170238868608
Frøya,1338.730775425093
Hitra,1418.1308703407055
United States Virgin Islands,1198.7853306194236
Corsica,1546.7209936874199
Eritrea,1301.2729185606959
Bahamas,1220.7438374226688
Gotland,1460.8142257306654
Saare County,1384.359027833486
Rhodes,1553.4804098666598
Micronesia,1446.8309859514688
Bhutan,1055.9903778071648
Western Sahara,1466.2980415028146
Orkney,1443.1878560986277
Monaco,1477.9028537508725
Tuvalu,1363.9915535738135
Sark,1460.1148965263353
Mayotte,1446.316149440109
Turks and Caicos Islands,1281.127468935234
Timor-Leste,1084.935782186388
Occitania,1593.488869948288
Chechnya,1480.5930309072887
Western Isles,1466.1221587027585
Falkland Islands,1348.399199451585
Kosovo,1621.2099895430426
Republic of St. Pauli,1486.3785276498745
Găgăuzia,1471.1556311214774
Tibet,1364.3419045843427
Sápmi,1472.502574527912
Northern Mariana Islands,1256.5657384925082
Romani people,1476.56526707779
Menorca,1522.3699302266064
Provence,1459.0340106267925
Arameans Suryoye,1522.1219016440948
Padania,1612.8898856660794
Iraqi Kurdistan,1565.3774132102662
Gozo,1482.1636089484223
Bonaire,1321.8531220150355
Chagos Islands,1425.1503485944825
Sealand,1494.9480718771688
Kurdistan,1532.1659940680656
Raetia,1432.4193806467954
Darfur,1435.5626470871512
Tamil Eelam,1534.906511763128
South Sudan,1317.3822343753181
Saint Barthélemy,1458.8605991479492
Abkhazia,1573.7862430615921
Saint Pierre and Miquelon,1431.4583069033781
Artsakh,1531.7646727421425
Madrid,1492.098192738546
Quebec,1506.714130404465
Saugeais,1499.1196371252443
Ellan Vannin,1540.0184388597868
Vatican City,1446.6772698021414
Somaliland,1489.601502125851
Franconia,1504.7642516083192
South Ossetia,1479.7084579239
County of Nice,1544.5625273556182
Seborga,1489.5542361740434
Székely Land,1473.8171902068116
Panjab,1522.163004882509
Felvidék,1501.6988304273605
Luhansk PR,1489.708205245146
Donetsk PR,1503.715119264738
United Koreans in Japan,1498.4109449898021
Western Armenia,1487.5257140482854
Délvidék,1498.3422689027293
Barawa,1450.1735376972679
Ryūkyū,1489.8112993078064
Kárpátalja,1542.7913531971092
Yorkshire,1537.9820399481289
Matabeleland,1500.0641867447384
Cascadia,1519.2697309668615
Kabylia,1480.978361186925
Parishes of Jersey,1509.3588247432724
Chameria,1510.4104106216544
Saint Helena,1431.485279285829
West Papua,1487.6159270764535
Elba Island,1516.0435410174164
Yoruba Nation,1489.7230345442042
Biafra,1510.5875630573946
Mapuche,1500.28774368332
Aymara,1480.2955217453048
Ticino,1475.5084027887665
Hmong,1486.8461835847893
Marshall Islands,1467.1311102507314
Asturias,1510.56675634087
South Yemen,1481.8730127996444
Ambazonia,1451.9775462016646
Crimea,1505.583759390354
Two Sicilies,1462.334988772067
Cilento,1490.3568237664338
Surrey,1509.3937467014389
East Turkestan,1486.964289829689
Maule Sur,1519.4167345713752
