team,matches,wins,win_rate,avg_goals,avg_conceded
Scotland,854,403,0.4718969555035129,1.7037470725995316,1.2295081967213115
England,1093,626,0.5727355901189387,2.182067703568161,0.9542543458371455
Wales,726,234,0.32231404958677684,1.2534435261707988,1.5977961432506886
Northern Ireland,707,185,0.26166902404526166,1.0480905233380482,1.833097595473833
United States,793,352,0.44388398486759145,1.5182849936948297,1.3228247162673392
Uruguay,973,428,0.4398766700924974,1.5775950668037,1.211716341212744
Austria,863,368,0.4264194669756663,1.7891077636152954,1.5249130938586326
Hungary,1006,472,0.4691848906560636,1.9990059642147118,1.474155069582505
Argentina,1072,593,0.5531716417910447,1.8945895522388059,1.0027985074626866
Belgium,856,382,0.4462616822429907,1.8119158878504673,1.5081775700934579
France,938,478,0.509594882729211,1.8315565031982943,1.2899786780383795
Guernsey,240,145,0.6041666666666666,2.566666666666667,1.3041666666666667
Jersey,235,153,0.6510638297872341,2.74468085106383,1.2127659574468086
Netherlands,882,453,0.5136054421768708,2.0895691609977325,1.2222222222222223
Guyana,313,103,0.329073482428115,1.3674121405750799,1.7571884984025559
Czechoslovakia,520,236,0.45384615384615384,1.8923076923076922,1.3865384615384615
Alderney,135,5,0.037037037037037035,0.5407407407407407,4.592592592592593
Switzerland,887,317,0.3573844419391206,1.4937993235625704,1.6313416009019166
Sweden,1104,542,0.49094202898550726,1.9710144927536233,1.2880434782608696
Germany,1034,600,0.5802707930367504,2.250483558994197,1.1595744680851063
Italy,893,477,0.5341545352743561,1.7525195968645018,0.9809630459126539
Chile,835,316,0.3784431137724551,1.4095808383233532,1.421556886227545
Norway,875,329,0.376,1.5485714285714285,1.6194285714285714
Russia,749,385,0.514018691588785,1.7369826435246996,0.9813084112149533
Finland,818,216,0.26405867970660146,1.17359413202934,2.047677261613692
Luxembourg,467,50,0.10706638115631692,0.6338329764453962,2.5781584582441113
Denmark,874,402,0.459954233409611,1.8157894736842106,1.3421052631578947
Catalonia,48,19,0.3958333333333333,1.5625,1.75
Philippines,342,93,0.2719298245614035,1.2076023391812865,2.2777777777777777
Basque Country,64,39,0.609375,2.5625,1.390625
China,702,339,0.4829059829059829,1.8304843304843306,1.0940170940170941
Brazil,1062,672,0.632768361581921,2.1713747645951034,0.9020715630885122
Japan,793,390,0.4918032786885246,1.8221941992433797,1.150063051702396
Paraguay,786,275,0.34987277353689566,1.27735368956743,1.421119592875318
Greece,633,240,0.3791469194312796,1.25434439178515,1.387045813586098
Spain,786,461,0.5865139949109415,2.0381679389312977,0.8944020356234097
Egypt,759,379,0.4993412384716733,1.6152832674571804,1.010540184453228
Suriname,399,173,0.43358395989974935,1.8796992481203008,1.4160401002506267
Canada,472,180,0.3813559322033898,1.3029661016949152,1.298728813559322
Estonia,550,136,0.24727272727272728,0.9890909090909091,1.770909090909091
Costa Rica,724,316,0.43646408839779005,1.7099447513812154,1.1850828729281768
Guatemala,554,199,0.3592057761732852,1.3971119133574008,1.3772563176895307
Brittany,12,6,0.5,1.5,1.25
Poland,892,384,0.4304932735426009,1.6804932735426008,1.3464125560538116
Yugoslavia,483,223,0.4616977225672878,1.950310559006211,1.565217391304348
New Zealand,419,172,0.4105011933174224,1.7446300715990453,1.494033412887828
Romania,766,335,0.43733681462140994,1.6174934725848564,1.2754569190600522
Latvia,461,128,0.27765726681127983,1.17353579175705,1.6572668112798266
Galicia,12,5,0.4166666666666667,1.75,1.9166666666666667
Portugal,698,349,0.5,1.7593123209169055,1.1160458452722064
Andalusia,13,8,0.6153846153846154,1.9230769230769231,1.0769230769230769
Australia,584,297,0.5085616438356164,2.0017123287671232,1.0599315068493151
Lithuania,433,111,0.25635103926096997,0.9953810623556582,1.8152424942263279
Turkey,645,259,0.4015503875968992,1.3937984496124032,1.4046511627906977
Central Spain,2,1,0.5,1.0,2.0
Mexico,1006,516,0.5129224652087475,1.7594433399602385,1.047713717693837
Aruba,152,32,0.21052631578947367,1.3092105263157894,2.348684210526316
Republic of Ireland,633,243,0.38388625592417064,1.3554502369668247,1.2148499210110584
Haiti,513,216,0.42105263157894735,1.6335282651072125,1.3391812865497077
Bulgaria,736,262,0.35597826086956524,1.3804347826086956,1.5013586956521738
Jamaica,663,258,0.3891402714932127,1.330316742081448,1.3182503770739065
Kenya,706,268,0.37960339943342775,1.385269121813031,1.3569405099150142
Bolivia,534,119,0.22284644194756553,1.0205992509363295,1.9681647940074907
Peru,714,231,0.3235294117647059,1.2030812324929971,1.3977591036414565
Honduras,620,247,0.39838709677419354,1.4661290322580645,1.2870967741935484
Uganda,685,285,0.41605839416058393,1.5036496350364963,1.181021897810219
Belarus,315,94,0.2984126984126984,1.1523809523809523,1.4730158730158731
El Salvador,614,200,0.3257328990228013,1.247557003257329,1.519543973941368
Barbados,302,94,0.31125827814569534,1.3013245033112584,1.7450331125827814
Trinidad and Tobago,753,321,0.4262948207171315,1.6839309428950864,1.3373173970783532
Cuba,397,139,0.3501259445843829,1.3400503778337531,1.5239294710327456
Curaçao,388,143,0.36855670103092786,1.6391752577319587,1.5850515463917525
Dominica,215,52,0.24186046511627907,1.1627906976744187,2.027906976744186
Silesia,8,3,0.375,3.0,2.125
Guadeloupe,271,115,0.42435424354243545,1.7084870848708487,1.4391143911439115
Israel,498,181,0.3634538152610442,1.5060240963855422,1.4799196787148594
French Guiana,179,54,0.3016759776536313,1.4916201117318435,1.7094972067039107
Panama,542,183,0.3376383763837638,1.2527675276752768,1.518450184501845
Colombia,641,259,0.4040561622464899,1.2886115444617785,1.1497659906396256
Venezuela,460,117,0.2543478260869565,1.05,1.8608695652173912
Ecuador,594,183,0.30808080808080807,1.207070707070707,1.5218855218855218
Saint Kitts and Nevis,226,90,0.39823008849557523,1.7123893805309736,1.6460176991150441
Slovakia,367,149,0.40599455040871935,1.4114441416893733,1.2479564032697548
Manchukuo,3,0,0.0,0.0,5.333333333333333
Croatia,399,209,0.5238095238095238,1.7293233082706767,1.012531328320802
Nicaragua,222,51,0.22972972972972974,1.054054054054054,2.4054054054054053
Afghanistan,147,36,0.24489795918367346,0.9659863945578231,1.9931972789115646
India,534,190,0.35580524344569286,1.3670411985018727,1.6142322097378277
Martinique,331,145,0.4380664652567976,1.770392749244713,1.3021148036253776
Zimbabwe,496,190,0.38306451612903225,1.3306451612903225,1.1915322580645162
Iceland,522,159,0.3045977011494253,1.210727969348659,1.6781609195402298
Albania,398,110,0.27638190954773867,0.9472361809045227,1.479899497487437
Madagascar,320,118,0.36875,1.35625,1.5125
Zambia,793,358,0.4514501891551072,1.5561160151324085,1.073139974779319
Mauritius,325,91,0.28,1.2676923076923077,1.6092307692307692
Tanzania,599,163,0.27212020033388984,1.1018363939899833,1.4891485809682805
Iran,615,349,0.567479674796748,1.8813008130081301,0.7886178861788617
Djibouti,111,7,0.06306306306306306,0.6666666666666666,3.6126126126126126
DR Congo,527,206,0.3908918406072106,1.4800759013282732,1.191650853889943
Vietnam,297,128,0.43097643097643096,1.6464646464646464,1.367003367003367
Macau,148,21,0.14189189189189189,0.7702702702702703,3.0945945945945947
Ethiopia,409,144,0.35207823960880197,1.3422982885085575,1.4547677261613692
Puerto Rico,163,41,0.25153374233128833,1.2576687116564418,2.3435582822085887
Réunion,124,53,0.4274193548387097,1.7661290322580645,1.7741935483870968
Sierra Leone,301,91,0.3023255813953488,0.9634551495016611,1.3787375415282392
Zanzibar,209,44,0.21052631578947367,0.9138755980861244,2.0861244019138754
South Korea,1010,539,0.5336633663366337,1.7762376237623763,0.906930693069307
Ghana,674,312,0.4629080118694362,1.5623145400593472,1.0385756676557865
South Africa,483,215,0.4451345755693582,1.3478260869565217,0.9461697722567288
New Caledonia,265,136,0.5132075471698113,2.6339622641509433,1.3924528301886792
Fiji,268,116,0.43283582089552236,2.2686567164179103,1.6380597014925373
Nigeria,661,311,0.47049924357034795,1.524962178517398,1.0015128593040847
Myanmar,512,210,0.41015625,1.603515625,1.65234375
Sri Lanka,251,49,0.1952191235059761,0.9442231075697212,2.2948207171314743
Tahiti,242,131,0.5413223140495868,2.7148760330578514,1.5330578512396693
Gambia,266,73,0.2744360902255639,1.0488721804511278,1.3909774436090225
Hong Kong,447,143,0.319910514541387,1.4496644295302012,1.6375838926174497
Singapore,696,219,0.3146551724137931,1.3477011494252873,1.8232758620689655
Malaysia,835,327,0.3916167664670659,1.6323353293413174,1.4502994011976047
Indonesia,728,282,0.3873626373626374,1.6662087912087913,1.6153846153846154
Guinea-Bissau,190,52,0.2736842105263158,0.9947368421052631,1.4736842105263157
German DR,298,140,0.4697986577181208,1.6979865771812082,1.2114093959731544
Vanuatu,214,69,0.32242990654205606,1.8831775700934579,2.149532710280374
Kernow,12,7,0.5833333333333334,2.6666666666666665,1.5833333333333333
Saarland,9,1,0.1111111111111111,1.1111111111111112,2.888888888888889
Taiwan,245,68,0.27755102040816326,1.3061224489795917,2.5061224489795917
Cambodia,295,65,0.22033898305084745,1.11864406779661,2.5762711864406778
Lebanon,333,93,0.27927927927927926,1.1561561561561562,1.4084084084084083
Pakistan,251,55,0.21912350597609562,0.9402390438247012,2.298804780876494
Vietnam Republic,195,82,0.4205128205128205,1.8666666666666667,1.6
North Korea,390,162,0.4153846153846154,1.6102564102564103,1.1153846153846154
Togo,447,141,0.31543624161073824,1.1006711409395973,1.3870246085011186
Sudan,469,151,0.32196162046908317,1.0831556503198294,1.35181236673774
Malta,458,65,0.14192139737991266,0.6506550218340611,2.2423580786026203
Syria,484,173,0.3574380165289256,1.4297520661157024,1.3181818181818181
Tunisia,681,296,0.434654919236417,1.4317180616740088,1.0205580029368575
Malawi,644,219,0.34006211180124224,1.1692546583850931,1.2919254658385093
Morocco,620,306,0.4935483870967742,1.479032258064516,0.7983870967741935
Benin,325,84,0.25846153846153846,1.083076923076923,1.7261538461538461
Thailand,865,339,0.3919075144508671,1.606936416184971,1.4809248554913295
Ivory Coast,639,326,0.5101721439749609,1.6322378716744914,0.9921752738654147
Burkina Faso,464,164,0.35344827586206895,1.25,1.3297413793103448
Congo,406,134,0.33004926108374383,1.2881773399014778,1.4729064039408868
Cameroon,616,271,0.43993506493506496,1.405844155844156,1.0389610389610389
Mali,569,232,0.4077328646748682,1.311072056239016,1.1001757469244289
North Vietnam,24,7,0.2916666666666667,2.0416666666666665,2.1666666666666665
Mongolia,103,25,0.24271844660194175,1.1359223300970873,3.0679611650485437
Cyprus,426,82,0.19248826291079812,0.8802816901408451,2.176056338028169
Iraq,658,304,0.46200607902735563,1.5288753799392096,0.9316109422492401
Saint Lucia,230,80,0.34782608695652173,1.4217391304347826,1.9043478260869566
Grenada,260,86,0.33076923076923076,1.623076923076923,1.8615384615384616
Senegal,641,298,0.46489859594383776,1.3775351014040562,0.9391575663026521
Central African Republic,138,29,0.21014492753623187,1.0579710144927537,1.9057971014492754
Chad,138,26,0.18840579710144928,0.8478260869565217,1.7246376811594204
Libya,384,143,0.3723958333333333,1.3020833333333333,1.2135416666666667
